timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:55:32.016, [Not Supported], 42 %, 26 %
2018/11/16 15:55:33.017, [Not Supported], 47 %, 29 %
2018/11/16 15:55:34.018, [Not Supported], 43 %, 26 %
2018/11/16 15:55:35.018, [Not Supported], 45 %, 28 %
2018/11/16 15:55:36.019, [Not Supported], 40 %, 25 %
2018/11/16 15:55:37.020, [Not Supported], 36 %, 22 %
2018/11/16 15:55:38.021, [Not Supported], 41 %, 25 %
2018/11/16 15:55:39.022, [Not Supported], 46 %, 28 %
2018/11/16 15:55:40.023, [Not Supported], 41 %, 26 %
2018/11/16 15:55:41.023, [Not Supported], 46 %, 30 %
2018/11/16 15:55:42.024, [Not Supported], 17 %, 7 %
2018/11/16 15:55:43.024, [Not Supported], 14 %, 6 %
2018/11/16 15:55:44.025, [Not Supported], 9 %, 4 %
2018/11/16 15:55:45.026, [Not Supported], 24 %, 16 %
2018/11/16 15:55:46.027, [Not Supported], 20 %, 13 %
2018/11/16 15:55:47.028, [Not Supported], 24 %, 25 %
2018/11/16 15:55:48.029, [Not Supported], 46 %, 32 %
2018/11/16 15:55:49.029, [Not Supported], 41 %, 28 %
2018/11/16 15:55:50.030, [Not Supported], 53 %, 36 %
2018/11/16 15:55:51.032, [Not Supported], 39 %, 26 %
2018/11/16 15:55:52.032, [Not Supported], 42 %, 30 %
2018/11/16 15:55:53.033, [Not Supported], 44 %, 30 %
2018/11/16 15:55:54.034, [Not Supported], 43 %, 29 %
2018/11/16 15:55:55.035, [Not Supported], 39 %, 26 %
2018/11/16 15:55:56.036, [Not Supported], 52 %, 34 %
2018/11/16 15:55:57.037, [Not Supported], 39 %, 26 %
2018/11/16 15:55:58.038, [Not Supported], 42 %, 31 %
2018/11/16 15:55:59.039, [Not Supported], 45 %, 30 %
2018/11/16 15:56:00.040, [Not Supported], 39 %, 26 %
2018/11/16 15:56:01.041, [Not Supported], 44 %, 29 %
2018/11/16 15:56:02.042, [Not Supported], 40 %, 27 %
2018/11/16 15:56:03.043, [Not Supported], 16 %, 5 %
2018/11/16 15:56:04.043, [Not Supported], 10 %, 5 %
2018/11/16 15:56:05.043, [Not Supported], 10 %, 4 %
2018/11/16 15:56:06.044, [Not Supported], 12 %, 5 %
2018/11/16 15:56:07.045, [Not Supported], 10 %, 5 %
2018/11/16 15:56:08.046, [Not Supported], 10 %, 4 %
2018/11/16 15:56:09.046, [Not Supported], 10 %, 4 %
2018/11/16 15:56:10.047, [Not Supported], 11 %, 5 %
2018/11/16 15:56:11.048, [Not Supported], 10 %, 4 %
2018/11/16 15:56:12.048, [Not Supported], 10 %, 4 %
