timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:56:15.634, [Not Supported], 13 %, 5 %
2018/11/16 15:56:16.635, [Not Supported], 11 %, 5 %
2018/11/16 15:56:17.636, [Not Supported], 10 %, 4 %
2018/11/16 15:56:18.636, [Not Supported], 11 %, 5 %
2018/11/16 15:56:19.637, [Not Supported], 12 %, 5 %
2018/11/16 15:56:20.638, [Not Supported], 9 %, 4 %
2018/11/16 15:56:21.638, [Not Supported], 10 %, 4 %
2018/11/16 15:56:22.639, [Not Supported], 11 %, 5 %
2018/11/16 15:56:23.639, [Not Supported], 10 %, 4 %
2018/11/16 15:56:24.640, [Not Supported], 10 %, 4 %
2018/11/16 15:56:25.641, [Not Supported], 11 %, 5 %
2018/11/16 15:56:26.641, [Not Supported], 10 %, 4 %
2018/11/16 15:56:27.642, [Not Supported], 10 %, 4 %
2018/11/16 15:56:28.643, [Not Supported], 10 %, 4 %
2018/11/16 15:56:29.643, [Not Supported], 10 %, 4 %
2018/11/16 15:56:30.644, [Not Supported], 10 %, 5 %
2018/11/16 15:56:31.644, [Not Supported], 15 %, 6 %
2018/11/16 15:56:32.645, [Not Supported], 10 %, 4 %
2018/11/16 15:56:33.646, [Not Supported], 10 %, 4 %
2018/11/16 15:56:34.646, [Not Supported], 10 %, 4 %
2018/11/16 15:56:35.647, [Not Supported], 14 %, 6 %
2018/11/16 15:56:36.648, [Not Supported], 9 %, 4 %
2018/11/16 15:56:37.648, [Not Supported], 14 %, 7 %
2018/11/16 15:56:38.649, [Not Supported], 17 %, 7 %
2018/11/16 15:56:39.649, [Not Supported], 11 %, 4 %
2018/11/16 15:56:40.650, [Not Supported], 10 %, 4 %
2018/11/16 15:56:41.651, [Not Supported], 12 %, 5 %
2018/11/16 15:56:42.651, [Not Supported], 11 %, 4 %
2018/11/16 15:56:43.652, [Not Supported], 15 %, 6 %
2018/11/16 15:56:44.653, [Not Supported], 11 %, 5 %
2018/11/16 15:56:45.653, [Not Supported], 9 %, 4 %
2018/11/16 15:56:46.654, [Not Supported], 20 %, 12 %
2018/11/16 15:56:47.655, [Not Supported], 40 %, 22 %
2018/11/16 15:56:48.656, [Not Supported], 27 %, 15 %
2018/11/16 15:56:49.657, [Not Supported], 62 %, 42 %
2018/11/16 15:56:50.658, [Not Supported], 32 %, 17 %
2018/11/16 15:56:51.659, [Not Supported], 22 %, 14 %
2018/11/16 15:56:52.660, [Not Supported], 20 %, 13 %
2018/11/16 15:56:53.661, [Not Supported], 26 %, 15 %
2018/11/16 15:56:54.662, [Not Supported], 26 %, 15 %
2018/11/16 15:56:55.663, [Not Supported], 25 %, 15 %
2018/11/16 15:56:56.663, [Not Supported], 34 %, 24 %
2018/11/16 15:56:57.664, [Not Supported], 23 %, 16 %
2018/11/16 15:56:58.665, [Not Supported], 20 %, 13 %
2018/11/16 15:56:59.666, [Not Supported], 36 %, 28 %
